Carrier,Airport_Distance,Number_of_flights,Weather,Support_Crew_Available,Baggage_loading_time,Late_Arrival_o,Cleaning_o,Fueling_o,Security_o,Arr_Delay
AA,443,44533,5,73,18,20,14,24,30,100
UA,451,41757,6,126,16,18,13,25,54,46
UA,466,43029,5,96,16,19,14,24,43,90
AA,427,39561,5,23,16,19,9,23,33,67
US,443,42388,6,37,17,18,8,26,47,73
DL,447,44245,5,75,18,19,7,23,43,82
UA,465,46515,5,2,18,19,11,21,45,113
WN,451,46097,6,60,18,19,12,24,42,108
EV,460,44835,6,54,18,20,13,21,38,108
B6,437,43535,6,25,17,19,4,29,46,62
B6,469,47795,6,100,17,18,17,22,56,70
UA,454,44451,6,74,16,19,8,28,20,68
UA,455,45359,5,104,17,19,7,27,27,78
B6,434,42218,5,64,17,19,10,22,37,58
AA,434,39979,5,120,16,18,11,23,34,27
F9,465,42901,5,110,17,19,7,26,45,71
B6,464,41984,6,159,17,19,13,27,42,75
UA,448,40650,6,70,17,19,11,32,61,57
AA,459,43095,6,8,17,17,9,25,35,72
B6,426,40835,5,8,17,18,8,27,37,72
MQ,458,47537,6,131,18,19,11,27,43,101
DL,439,41004,5,166,17,19,10,24,23,61
US,420,35736,5,127,15,17,13,29,40,4
UA,443,43592,6,29,17,19,9,19,41,63
AA,450,42066,5,128,17,19,18,29,37,78
UA,447,41893,5,103,17,18,11,18,41,38
AA,445,41246,6,37,17,18,8,23,43,61
EV,454,42389,5,79,16,18,3,21,45,45
UA,435,40629,5,126,16,18,9,27,29,35
FL,458,43221,5,120,17,19,10,20,49,72
B6,451,45857,6,56,17,19,13,23,40,89
UA,425,43605,6,71,17,18,10,23,52,61
EV,469,44428,5,90,17,18,13,25,41,72
B6,454,45400,5,51,17,20,11,24,40,121
B6,459,44975,6,76,18,20,16,22,45,102
DL,431,43756,5,108,17,19,11,27,36,59
DL,459,46294,6,67,17,19,11,26,35,116
DL,461,45515,5,55,17,20,12,25,40,96
DL,462,49676,6,126,17,20,9,25,46,129
9E,432,40267,5,68,16,19,13,26,32,30
B6,408,40819,5,113,16,18,7,27,30,23
B6,425,42210,5,94,16,18,9,23,35,56
DL,435,47801,6,50,17,19,14,27,46,104
WN,424,41313,6,10,16,18,9,27,47,28
B6,442,43380,5,78,17,18,11,25,44,76
UA,455,42253,5,196,16,18,7,25,33,27
B6,428,40345,6,181,17,20,11,29,37,72
WN,453,36906,5,114,16,18,11,21,39,28
B6,433,44603,5,79,17,19,-1,27,37,70
UA,422,39020,5,153,16,18,6,29,40,34
EV,457,40237,5,158,16,19,9,19,31,42
DL,446,43993,5,44,17,19,9,29,38,77
B6,429,37040,5,89,16,17,11,24,42,21
B6,447,42437,6,74,17,19,10,20,47,56
UA,409,40820,6,44,16,19,5,30,29,52
EV,443,39697,5,108,17,19,12,25,38,46
B6,442,39898,5,66,16,18,8,23,28,29
UA,432,45113,6,97,17,19,13,33,39,80
DL,419,39936,5,130,16,18,8,29,29,36
UA,429,44627,5,110,16,18,4,30,33,39
EV,456,46285,5,94,17,18,8,22,30,71
MQ,441,43362,5,36,17,19,16,22,37,89
US,430,36767,5,87,16,18,11,33,22,14
UA,418,43310,5,105,17,19,5,28,35,78
MQ,446,40980,5,24,17,18,10,23,29,45
AS,441,40869,5,75,16,17,8,27,39,32
B6,457,41294,5,157,17,19,15,33,45,41
UA,461,45584,6,134,17,19,10,26,42,82
EV,419,44364,5,38,17,19,9,22,36,60
B6,442,39957,6,127,17,18,6,28,38,48
EV,426,47977,5,127,17,19,9,30,35,115
WN,423,44729,5,91,17,19,16,20,49,72
MQ,447,45528,5,23,18,19,1,25,40,117
UA,447,43242,6,58,17,19,14,24,41,68
AA,465,45744,5,15,17,20,7,21,59,109
AA,451,46016,6,20,18,19,0,29,47,84
DL,460,45637,6,33,17,20,12,26,28,93
AA,457,46530,5,135,17,19,11,22,43,77
9E,440,44146,6,97,17,19,7,20,42,80
US,449,40409,6,20,17,18,20,27,47,58
AA,413,39219,5,113,17,18,14,25,36,38
DL,422,40878,6,24,17,18,9,22,35,56
UA,423,45241,6,8,17,19,10,27,32,100
EV,423,42361,5,142,17,19,18,26,36,51
UA,423,41368,5,112,17,18,11,22,38,37
EV,409,41461,6,113,16,19,14,20,39,52
9E,456,45353,6,54,18,19,13,27,34,108
UA,416,40949,6,106,17,18,14,22,40,54
MQ,449,44201,5,57,17,18,14,25,54,55
UA,416,42844,5,76,17,18,11,22,42,56
EV,439,45108,5,61,17,19,3,23,34,63
B6,452,41446,5,21,17,17,8,25,22,38
MQ,448,38237,5,56,16,17,11,25,45,18
UA,420,43322,6,63,16,18,16,27,37,79
EV,424,41351,6,105,17,18,10,27,29,35
UA,436,45847,6,106,17,20,14,32,47,73
AA,428,39656,5,88,16,18,9,26,43,43
DL,410,45517,5,52,17,19,8,30,44,85
DL,447,43750,6,101,17,18,8,21,32,59
AA,455,45896,6,16,18,20,7,22,48,124
AA,451,48395,6,8,18,19,7,27,29,121
AA,468,46780,5,63,17,18,11,25,28,87
FL,451,43322,5,42,17,20,9,25,30,59
EV,442,47693,5,64,18,19,14,29,35,130
9E,454,41576,5,91,17,19,11,25,42,50
VX,434,45629,5,95,17,19,7,25,40,55
US,441,41209,5,43,17,18,8,29,39,60
MQ,465,42853,5,99,17,18,19,24,38,78
DL,440,45223,5,114,17,19,7,20,38,81
UA,428,43867,6,48,17,18,16,26,35,96
AA,446,45612,5,126,17,18,8,24,28,65
B6,428,40891,5,71,17,18,10,28,41,72
DL,460,44495,6,18,17,19,16,27,36,122
WN,402,36633,5,154,16,18,8,27,32,11
EV,468,41350,5,121,17,19,10,24,39,70
DL,432,44892,5,103,17,19,12,28,48,79
B6,477,41460,5,53,16,19,7,22,21,54
DL,461,38492,5,188,16,18,11,21,30,25
UA,449,46063,5,129,17,19,9,27,35,93
DL,419,42944,5,30,17,19,9,28,47,68
DL,476,45976,6,99,17,18,11,24,27,72
B6,445,42760,5,43,17,19,4,29,47,50
DL,445,39609,5,110,17,20,8,18,44,84
EV,467,46337,6,86,17,20,11,25,49,96
9E,462,46150,6,96,18,19,9,22,38,119
US,454,42635,5,102,17,19,7,30,41,47
MQ,444,39813,5,102,16,18,10,16,45,38
DL,423,40786,5,96,16,18,20,30,24,30
UA,474,41973,5,71,17,19,9,24,39,56
DL,447,49665,5,106,18,19,10,23,38,107
UA,444,43874,5,69,17,19,14,28,35,96
AA,432,42110,5,61,16,18,8,27,40,70
EV,466,46371,5,43,18,19,11,32,47,108
DL,432,44691,5,119,17,18,8,23,33,65
EV,464,40376,6,93,17,17,9,22,27,31
B6,443,37962,5,102,16,18,10,26,31,23
EV,435,32815,5,115,15,16,10,23,42,2
DL,460,43496,5,142,17,19,10,21,22,59
AA,445,42155,5,115,17,18,11,21,51,78
9E,437,39236,5,55,16,19,7,25,59,24
UA,445,42585,5,131,17,19,12,27,40,79
DL,415,40405,5,38,16,19,10,21,36,40
MQ,438,35493,5,207,16,17,8,18,33,13
EV,434,42541,5,59,17,19,7,26,36,55
AA,466,45528,5,48,17,20,12,22,42,116
EV,469,45225,6,110,16,18,23,26,35,69
AA,427,39382,5,89,16,18,9,21,45,16
UA,426,37577,5,110,16,17,12,36,32,14
B6,457,36845,5,184,15,17,7,25,34,11
MQ,436,44966,5,100,17,19,4,28,42,79
9E,420,43964,6,102,17,18,15,20,37,43
EV,468,46257,5,22,18,20,10,23,34,120
B6,435,44758,5,60,17,18,13,24,40,56
VX,416,39417,5,118,16,18,8,26,42,30
UA,453,35433,5,74,16,18,10,28,51,14
9E,429,42992,6,140,16,18,11,24,41,47
9E,475,48458,6,104,17,19,5,21,45,113
B6,460,43923,6,75,18,20,8,26,32,99
UA,445,45983,5,112,16,19,13,26,51,69
DL,398,42387,5,115,16,17,9,25,41,31
UA,420,43633,6,137,17,18,15,21,27,64
EV,418,40699,6,179,17,18,9,27,37,35
9E,448,43929,6,95,17,19,12,25,43,100
AA,438,40833,5,80,16,20,9,20,37,47
UA,449,43414,6,81,17,19,11,29,34,68
EV,447,40998,5,106,17,19,7,28,31,56
UA,459,43346,6,168,17,19,10,22,25,59
MQ,445,42259,5,75,17,18,17,24,34,80
MQ,470,39204,5,141,16,18,8,26,27,25
EV,437,43758,6,41,17,19,10,21,37,103
UA,469,48611,6,31,18,20,12,32,38,123
AA,446,41095,5,16,17,18,15,30,42,74
9E,459,43167,6,43,17,19,8,23,41,73
MQ,453,46627,6,91,17,19,7,28,40,90
9E,457,46217,6,66,17,18,11,31,36,63
B6,439,41012,5,98,17,19,9,30,33,72
UA,449,41494,5,70,17,18,11,28,45,68
FL,441,43609,6,169,17,19,15,26,34,46
B6,440,41938,5,112,17,19,9,26,36,55
9E,444,43018,5,89,18,20,16,33,36,91
B6,473,43458,5,101,17,20,7,25,41,63
DL,427,46519,6,67,17,20,5,27,43,86
UA,437,42368,5,115,17,19,14,19,31,42
EV,426,41600,5,14,16,17,8,26,35,33
B6,455,44349,5,51,17,19,14,21,40,61
WN,457,42791,6,8,17,19,9,23,43,66
EV,461,43905,5,85,17,19,9,27,37,88
AA,448,42139,6,101,17,19,12,23,40,77
B6,427,39610,5,54,16,18,8,25,41,34
B6,443,39558,5,121,16,18,4,32,50,29
UA,461,47345,5,79,17,19,11,23,36,115
UA,457,41491,5,78,16,17,8,23,35,36
UA,436,44243,6,50,17,19,13,23,38,91
EV,431,43198,5,8,17,18,10,23,38,57
B6,455,41592,5,100,18,18,16,22,38,80
9E,439,42651,6,73,17,19,7,25,30,97
UA,450,43797,5,2,17,18,12,29,53,76
MQ,439,45588,6,27,17,19,10,28,34,83
B6,404,42117,5,87,17,18,13,22,39,43
B6,442,45410,5,143,17,19,16,25,37,55
MQ,443,42582,5,148,17,19,7,22,34,58
UA,456,41776,6,86,17,19,2,25,32,67
EV,452,43576,5,88,17,17,8,17,37,58
EV,438,45304,5,138,17,19,13,29,40,80
B6,445,43954,5,95,17,20,9,26,36,97
MQ,449,47084,6,96,17,19,14,25,41,113
MQ,426,42079,5,150,17,18,12,28,58,52
EV,428,45112,6,99,17,19,11,25,38,84
WN,444,42426,6,42,17,20,8,24,30,96
UA,426,46338,6,125,18,19,4,24,44,94
MQ,431,39265,5,137,17,19,15,18,28,46
B6,405,40900,5,104,16,17,7,27,38,38
UA,417,41130,5,49,17,19,14,24,29,48
DL,424,38991,5,165,16,17,3,30,31,15
B6,451,45025,5,112,17,20,7,25,40,74
UA,468,47988,5,99,17,20,12,31,33,99
B6,440,44144,5,29,17,18,9,27,40,69
MQ,450,44790,6,124,17,18,8,24,39,79
EV,448,43973,5,51,17,19,12,25,38,83
9E,440,44943,6,98,17,19,7,27,29,93
EV,444,44621,6,47,17,19,15,23,37,85
EV,419,43449,5,84,17,19,6,27,28,37
B6,434,41087,6,149,16,18,11,24,43,35
B6,423,40822,5,154,17,19,4,25,38,35
MQ,427,40787,5,78,17,18,16,24,33,45
AA,461,41956,5,191,16,18,7,24,45,42
MQ,447,49040,5,11,18,20,16,25,32,139
B6,410,41478,5,65,18,18,8,29,43,69
UA,428,41969,5,77,16,18,17,27,40,55
B6,451,45883,6,64,17,19,11,20,40,95
B6,445,44707,6,51,17,19,9,25,47,78
B6,458,44798,5,68,17,18,10,24,37,101
EV,438,42377,5,38,17,18,10,30,41,57
AA,448,44294,5,75,18,20,8,27,33,118
B6,423,48532,6,113,17,19,6,20,44,101
B6,419,41635,5,67,16,19,6,26,36,50
B6,459,44116,6,40,17,18,15,26,38,69
B6,460,44716,5,69,18,18,7,28,40,92
B6,445,44461,5,78,17,19,10,23,27,65
EV,454,42810,5,104,17,20,8,27,42,66
EV,436,45395,6,104,17,20,12,18,34,80
B6,469,44875,5,64,17,19,12,27,48,94
B6,412,44440,6,86,17,19,2,27,19,69
B6,408,40538,5,146,16,19,4,25,54,38
EV,429,40767,5,143,16,18,10,21,27,39
B6,447,37315,5,151,16,17,10,34,35,29
B6,413,43186,5,120,16,19,9,15,25,46
B6,444,42676,5,72,16,19,11,24,47,56
EV,425,39903,5,98,16,17,19,26,36,28
EV,431,42710,5,120,16,18,10,22,26,36
B6,433,39369,5,100,16,17,14,18,35,26
EV,466,45874,5,38,17,20,7,24,33,94
B6,457,42836,6,13,17,19,9,21,44,84
B6,451,44234,5,41,17,19,9,31,34,72
B6,478,47427,6,20,18,20,7,27,37,125
B6,414,35324,5,107,15,18,8,30,37,7
B6,410,41351,5,179,17,19,13,31,47,47
US,436,37297,5,88,16,18,10,28,37,18
UA,435,40311,5,124,17,18,12,24,37,50
AA,444,39521,5,119,17,18,13,26,46,52
UA,417,45143,6,122,17,18,13,26,37,70
B6,464,43940,5,149,17,18,14,33,30,53
B6,385,42211,5,107,17,17,12,24,40,52
B6,471,42979,6,26,17,19,10,26,37,72
B6,455,46030,5,54,17,19,8,24,26,87
AA,460,41451,5,83,17,19,6,23,51,72
B6,458,43947,6,60,17,19,8,22,34,76
DL,425,42439,5,77,17,20,10,21,31,66
EV,465,47930,6,79,18,20,12,21,47,135
DL,440,46364,6,115,18,19,16,24,33,101
DL,455,44625,5,53,18,19,4,29,35,99
FL,465,44089,5,88,17,19,11,32,45,87
UA,474,48177,6,58,18,19,7,28,42,117
UA,470,48907,5,103,18,20,13,21,52,114
UA,437,40336,5,113,16,19,6,29,31,27
EV,430,45852,5,37,17,19,11,23,23,99
EV,433,39875,5,160,16,19,9,23,23,30
9E,433,40544,5,95,16,20,8,26,32,58
B6,450,39579,5,57,17,18,9,28,45,75
WN,431,38419,6,123,17,18,6,28,39,55
MQ,449,44867,5,41,18,20,15,24,41,108
UA,410,40241,5,57,17,18,11,29,50,39
US,428,43135,6,59,18,19,10,23,40,79
AA,453,45188,5,35,18,19,8,26,41,102
UA,466,46796,6,52,18,19,14,18,35,117
UA,448,45957,5,27,18,18,5,25,48,93
DL,456,44054,6,53,17,19,5,27,35,70
DL,433,45139,5,35,18,19,10,27,45,80
AA,452,45144,6,113,18,19,7,27,38,114
B6,458,42546,5,126,17,19,18,27,34,62
EV,425,36953,5,165,16,17,19,27,29,18
DL,460,39797,5,46,17,19,8,30,40,79
WN,418,42542,5,89,17,18,10,23,43,37
B6,448,42721,5,138,17,18,8,17,35,42
B6,470,46280,6,14,18,19,10,25,31,107
UA,427,39975,5,66,17,20,5,27,45,58
US,423,44189,6,145,17,19,11,24,36,87
AA,428,45458,6,51,17,20,8,27,35,84
MQ,434,42929,5,104,17,18,13,25,36,49
MQ,439,44526,6,158,17,19,8,26,30,53
MQ,445,40146,5,110,16,19,8,29,36,44
UA,455,38377,5,131,17,19,17,26,30,44
UA,459,44213,5,57,17,20,5,22,35,96
US,441,43026,5,16,17,19,10,26,40,83
DL,443,42772,5,126,17,18,10,26,47,67
WN,412,38880,5,201,16,17,12,24,40,33
EV,467,45681,5,35,17,20,12,22,33,106
EV,435,43082,5,92,17,19,6,23,36,66
US,435,41705,5,68,16,18,6,23,28,43
B6,438,41721,5,1,16,19,9,29,31,58
DL,453,42611,5,38,17,20,13,26,45,61
WN,439,41162,6,106,17,19,6,24,33,64
EV,430,45766,5,105,17,18,8,22,33,66
UA,436,41032,5,150,16,18,9,27,33,42
AA,424,39237,5,156,16,18,6,31,43,17
UA,424,43127,6,45,17,20,13,31,40,78
UA,438,41998,5,91,16,18,18,23,37,29
EV,445,44605,5,1,17,20,15,21,36,58
US,429,39073,5,60,16,18,11,21,41,41
UA,446,43498,5,11,17,19,12,22,49,79
B6,446,43839,5,123,17,19,14,24,44,64
UA,433,40466,5,120,16,18,6,30,40,44
EV,456,49036,5,130,18,20,13,24,39,153
AA,458,43139,6,72,17,20,3,24,43,88
B6,450,44374,5,151,17,19,9,22,31,52
B6,440,44004,5,57,18,19,8,30,42,82
US,460,45574,6,32,18,19,7,27,39,84
UA,443,47475,6,72,18,19,11,26,33,106
UA,454,45929,6,41,17,19,13,26,47,79
US,442,47342,6,2,18,20,13,28,27,134
DL,430,41467,5,68,17,19,10,27,33,58
UA,454,41579,5,67,17,19,9,14,39,76
DL,434,41988,5,186,17,19,13,19,27,59
UA,450,48446,6,74,18,20,11,30,38,118
AA,413,40567,5,125,16,18,8,25,41,23
B6,448,46152,5,43,17,18,4,25,44,107
DL,453,42065,5,21,17,19,11,22,40,81
DL,420,36418,5,113,15,18,10,26,30,14
DL,457,43421,6,50,17,19,9,31,51,83
B6,443,44593,5,71,18,19,9,24,42,82
MQ,433,44246,6,73,17,19,14,25,28,64
US,426,42063,5,103,18,19,10,27,47,86
VX,441,46571,5,59,18,19,11,20,28,107
EV,454,43237,6,37,16,18,15,29,34,42
AA,431,44810,5,108,17,20,10,22,31,103
AA,429,39822,5,111,16,18,8,24,31,12
DL,475,42049,5,133,16,17,10,19,32,21
UA,455,48236,6,94,18,19,9,17,19,133
B6,403,42266,6,90,17,19,21,29,46,48
DL,457,44450,5,109,17,20,10,27,42,92
UA,445,42781,6,133,17,19,10,19,40,73
AA,438,48280,5,24,18,19,12,21,38,115
MQ,447,44587,5,86,17,18,13,31,44,49
AA,452,45667,5,115,18,19,14,30,39,93
B6,428,41735,5,144,17,18,9,24,31,52
DL,435,47716,5,104,18,19,14,23,35,93
UA,429,40333,5,116,17,18,8,28,33,45
AA,421,40785,6,86,16,19,14,28,26,51
B6,449,49650,6,32,18,20,11,24,38,115
UA,432,42172,5,43,17,18,10,27,35,57
UA,438,43912,5,60,17,18,13,23,35,83
MQ,442,44199,5,84,17,19,9,28,45,68
AS,428,45084,6,22,17,19,6,28,43,90
UA,430,42120,5,107,16,18,5,27,36,45
VX,426,42101,5,140,17,20,15,28,36,59
UA,436,36513,5,155,16,18,9,33,35,22
UA,405,41280,5,163,17,19,8,21,41,72
FL,437,42659,5,176,16,20,8,26,34,46
B6,462,43331,5,79,17,18,6,15,30,64
DL,427,39389,5,86,16,18,10,20,24,21
B6,404,42527,5,109,16,18,8,23,52,56
AA,439,37952,5,107,15,18,14,20,36,10
B6,449,43176,5,54,17,18,9,19,27,58
UA,449,39618,5,104,16,18,13,23,31,28
B6,457,40107,5,163,16,18,8,29,44,39
B6,439,42527,5,22,17,20,15,17,39,66
WN,443,42898,5,151,18,19,12,26,32,73
UA,427,42001,5,119,17,18,11,25,32,37
B6,450,40474,5,107,16,18,11,27,41,27
AA,444,45851,5,93,17,20,13,27,45,83
AA,461,48089,6,21,17,19,14,20,29,108
UA,447,45716,5,35,18,18,10,25,37,113
WN,428,40626,5,52,16,17,7,25,30,24
EV,475,42800,5,31,17,19,12,21,35,67
UA,458,46213,6,82,18,20,9,21,37,124
9E,435,41569,6,148,17,19,15,22,34,74
DL,450,45469,6,81,17,19,11,28,45,77
AA,457,45437,6,21,18,20,8,21,37,123
UA,482,45879,6,74,18,20,10,26,32,92
B6,436,42525,6,48,17,19,10,24,26,57
UA,421,45027,5,75,17,18,14,26,42,77
9E,437,39273,5,40,16,18,12,25,36,31
EV,464,44674,5,35,17,19,11,22,39,70
EV,450,43972,5,34,17,20,10,21,45,88
UA,442,39959,5,181,17,17,17,24,43,35
EV,436,41436,5,42,17,18,12,26,35,57
DL,452,41871,5,120,17,19,13,24,37,57
B6,436,39116,5,66,16,17,11,28,35,49
B6,433,40723,5,102,16,19,11,20,50,32
DL,449,44250,6,26,17,19,10,22,51,100
DL,464,47074,5,42,17,18,11,24,33,70
US,469,46830,5,177,17,19,12,24,27,106
AA,450,42323,6,88,16,18,10,32,41,70
B6,451,44527,5,16,18,19,9,19,37,81
DL,441,43434,5,76,17,19,11,24,37,73
AA,455,41455,5,138,17,18,12,32,30,58
MQ,424,44686,6,106,18,18,7,27,47,85
UA,443,42796,5,186,17,19,2,25,43,68
AA,401,41110,5,24,17,19,6,24,29,49
DL,444,42970,5,88,17,18,9,29,29,52
DL,457,47021,5,66,17,20,6,22,40,104
US,452,41395,5,102,16,18,11,26,36,25
B6,426,39150,5,121,16,18,8,23,43,19
UA,468,44248,6,85,18,19,11,21,40,79
UA,447,41151,5,101,17,19,10,25,45,74
AA,423,43766,6,58,17,18,11,21,40,51
B6,426,45598,6,94,18,18,14,28,30,112
DL,433,47449,5,65,17,19,14,28,40,63
UA,453,43018,5,80,18,19,5,28,38,86
B6,442,46245,5,76,18,20,8,23,33,110
EV,424,44985,5,126,17,18,7,29,19,64
B6,470,44594,5,52,17,19,2,25,34,77
AA,430,43215,5,97,17,20,8,25,35,56
B6,450,41916,5,70,17,20,7,24,43,99
B6,464,44984,5,16,17,20,13,23,40,99
UA,405,41703,5,99,17,18,8,24,42,48
UA,446,45406,5,45,17,19,19,31,34,80
AA,445,46690,6,46,17,19,9,20,33,94
B6,495,43675,6,117,18,19,10,22,31,109
UA,447,41313,5,55,17,18,10,20,37,47
B6,446,45231,5,59,17,19,10,23,37,107
MQ,459,43319,5,79,17,20,9,22,31,85
B6,455,46457,6,120,18,19,6,29,32,107
DL,430,45576,6,168,17,19,15,26,38,98
MQ,456,43519,6,72,17,20,7,22,33,93
AA,437,45305,5,96,17,18,6,19,23,69
DL,442,41642,5,83,17,18,5,28,37,40
UA,420,41236,5,110,17,18,13,24,43,49
MQ,446,45538,6,57,18,20,11,29,36,119
UA,453,40525,5,41,17,18,4,23,35,31
B6,448,40897,6,97,17,18,8,32,33,49
B6,449,44964,6,60,17,19,9,24,32,86
DL,431,46493,6,44,17,19,8,20,32,86
US,432,41191,5,160,16,17,13,29,27,54
AA,438,43929,6,55,17,19,13,20,34,58
UA,465,44409,6,71,17,18,14,21,40,74
EV,435,38991,5,60,16,18,12,26,31,19
MQ,457,44341,5,72,17,18,15,23,42,89
US,415,42770,5,40,17,19,5,25,36,50
AA,448,43305,6,104,17,19,19,28,36,63
UA,459,42939,5,70,17,19,8,28,27,63
AA,464,45335,5,43,17,20,10,21,26,104
WN,441,44095,6,78,17,19,14,29,47,87
US,433,43700,6,108,17,19,6,31,46,89
EV,424,42497,5,165,17,18,18,23,38,56
AA,477,47941,6,75,18,19,15,27,48,93
B6,461,45426,5,64,17,20,9,25,32,91
B6,461,46219,6,13,18,19,7,22,41,100
UA,427,40257,5,113,17,19,13,22,44,53
US,442,39853,5,129,16,18,13,23,41,43
UA,435,45183,5,58,17,19,15,28,53,107
B6,435,45779,5,96,17,19,13,32,36,100
UA,446,45655,6,79,17,20,21,24,47,82
UA,441,43838,6,85,18,19,5,25,44,87
B6,435,42759,6,1,17,19,11,24,29,81
B6,430,42014,5,52,18,18,11,32,36,81
DL,422,42261,5,89,16,18,12,27,36,56
DL,446,43839,5,40,17,19,12,26,28,90
DL,443,46708,6,79,18,19,13,21,40,96
DL,446,47598,6,60,18,18,9,29,48,90
AA,422,42756,5,87,17,19,12,30,45,53
AA,475,51436,6,81,19,22,12,19,34,180
MQ,432,42733,5,142,17,18,13,32,40,63
UA,451,45320,6,57,18,20,11,26,38,128
DL,451,46310,5,71,18,19,2,19,39,87
DL,458,44950,5,110,18,20,12,21,49,86
VX,437,37199,5,143,16,18,16,28,43,18
AA,452,41997,6,99,16,18,8,30,32,43
B6,445,45939,6,76,17,19,6,20,28,95
DL,422,38348,5,142,16,18,3,26,33,26
UA,463,41522,5,67,17,19,10,23,26,76
UA,455,45062,6,124,17,19,9,28,38,72
B6,440,41170,5,118,16,18,3,31,46,34
UA,432,40965,5,101,17,18,11,30,44,55
B6,432,41984,5,125,17,18,6,26,40,64
AA,467,44701,6,53,18,20,14,27,42,121
UA,454,42812,5,71,17,19,9,26,30,68
FL,448,45859,5,42,17,19,7,31,23,78
B6,440,47178,5,64,17,18,5,24,42,55
UA,432,43417,5,76,17,17,7,24,37,63
AA,486,43247,5,64,18,21,17,24,44,107
AS,427,40331,5,51,17,18,15,26,32,52
AA,468,44887,6,46,17,20,17,23,45,99
UA,407,42546,5,10,17,19,12,23,42,89
UA,429,37961,5,107,17,18,13,24,14,40
VX,442,42081,5,142,16,19,8,28,30,70
B6,426,36772,5,124,16,18,10,23,45,13
B6,459,44518,5,123,18,19,6,25,40,100
UA,439,44221,5,73,17,19,12,25,35,77
B6,457,43649,5,174,16,18,7,27,15,51
B6,447,41388,5,77,17,18,6,31,49,71
AA,471,47546,5,59,17,19,10,26,32,85
UA,470,40539,5,115,16,18,10,26,44,27
B6,442,40158,5,219,17,19,6,32,44,37
AA,459,44425,6,79,18,19,13,31,38,71
B6,411,43649,5,87,18,19,10,19,26,64
DL,450,42826,5,58,17,19,8,28,31,54
AA,419,38672,5,137,16,18,5,31,41,18
UA,441,45250,6,82,18,20,9,25,50,96
MQ,451,39996,5,125,17,18,4,24,38,38
DL,453,43751,5,121,18,20,6,28,49,130
UA,428,45059,6,115,18,19,7,26,34,96
US,439,44197,6,150,17,19,10,23,29,60
AA,409,40945,6,111,16,18,6,23,34,42
DL,438,45581,5,30,17,19,12,29,43,75
WN,431,41865,6,58,16,18,13,26,45,44
B6,439,41007,6,17,17,19,1,18,32,59
DL,444,45946,6,16,18,20,7,18,36,104
DL,455,44548,5,157,17,19,4,26,36,82
MQ,442,42389,6,82,17,19,16,28,54,51
B6,451,39310,5,127,16,19,7,22,41,43
AA,449,43963,5,49,17,19,7,29,35,75
UA,459,43253,5,107,17,20,13,26,35,57
DL,457,41594,6,98,17,19,6,26,36,86
B6,377,43243,6,125,16,19,4,23,52,53
B6,458,47530,5,37,17,19,9,24,34,76
MQ,441,41752,5,146,17,18,12,26,51,46
DL,460,40177,6,92,16,18,13,29,41,25
EV,444,40764,5,1,17,18,7,32,33,51
9E,444,41645,5,12,17,18,12,26,43,55
DL,459,41746,5,76,17,19,11,26,45,53
EV,435,42918,6,130,17,18,13,24,45,64
MQ,439,41681,5,97,16,18,9,20,43,35
US,409,44663,5,96,17,19,10,33,32,69
EV,413,42325,6,31,17,19,14,22,38,62
DL,444,38333,5,119,16,18,8,17,32,28
FL,453,42995,5,99,17,19,3,24,40,78
B6,454,45925,6,15,18,20,11,23,40,120
B6,431,44523,5,65,17,19,7,21,22,62
DL,453,43550,5,117,17,19,15,19,39,97
DL,446,43485,6,108,18,19,8,25,32,81
B6,449,41768,5,110,16,19,9,20,36,42
MQ,422,38908,5,172,16,17,14,30,37,21
EV,459,46062,5,110,18,19,12,30,50,107
US,417,43705,5,49,16,19,14,22,40,53
UA,447,42195,5,140,17,18,17,28,37,47
AA,446,44775,5,79,17,19,14,29,40,62
B6,441,44081,6,55,17,19,17,23,41,83
AA,444,44679,5,102,17,19,9,27,38,91
UA,455,48837,6,115,18,21,4,24,40,134
B6,439,44077,6,33,17,18,15,31,34,53
UA,430,44407,5,72,18,20,10,29,32,86
UA,437,44697,5,26,17,19,12,31,27,93
UA,480,47520,6,71,18,21,4,25,29,141
AA,440,37753,5,73,16,19,8,24,34,34
MQ,436,46269,5,41,18,19,10,27,47,105
EV,458,44630,5,52,18,19,12,27,43,100
MQ,429,43582,5,58,17,18,14,21,38,62
F9,426,39462,6,38,16,18,9,30,40,32
AA,438,45184,5,139,17,18,11,22,37,91
MQ,455,45057,5,108,16,19,10,28,36,73
AA,439,46291,6,88,18,20,11,22,36,113
DL,445,45279,6,52,18,20,12,23,23,128
B6,430,47187,5,120,18,20,8,29,26,114
MQ,450,38503,6,55,16,17,14,23,43,29
UA,442,39335,5,132,17,18,9,24,41,34
EV,420,36294,5,84,15,18,8,23,42,14
DL,424,33122,5,209,15,17,10,23,34,4
UA,423,41530,5,68,17,18,13,29,33,57
WN,432,41047,6,82,17,19,12,26,33,59
B6,481,47378,5,72,18,20,16,23,36,134
DL,450,46590,6,91,18,19,13,29,52,103
AA,451,43189,6,55,18,19,13,29,36,107
DL,424,43248,6,45,17,18,6,23,29,85
UA,472,44891,5,97,17,19,8,27,37,72
HA,446,47341,6,99,18,20,4,22,22,122
DL,431,42771,6,5,17,19,8,26,25,61
DL,455,44519,6,61,17,19,8,26,30,81
UA,445,44079,5,86,18,19,9,25,31,109
